Nombre_archivo;Namespace;begin_line;end_line;yield_line;
coalib\bearlib\languages\definitions\JSON.py;None;None;None;None;
coalib\bearlib\languages\definitions\JSP.py;None;None;None;None;
coalib\bearlib\languages\definitions\KornShell.py;None;None;None;None;
coalib\bearlib\languages\definitions\m4.py;None;None;None;None;
coalib\bearlib\languages\definitions\Markdown.py;None;None;None;None;
coalib\bearlib\languages\definitions\Matlab.py;None;None;None;None;
coalib\bearlib\languages\definitions\ObjectiveC.py;None;None;None;None;
coalib\bearlib\languages\definitions\PHP.py;None;None;None;None;
coalib\bearlib\languages\definitions\PLSQL.py;None;None;None;None;
coalib\bearlib\languages\definitions\PowerShell.py;None;None;None;None;
coalib\bearlib\languages\definitions\Python.py;None;None;None;None;
coalib\bearlib\languages\definitions\Ruby.py;None;None;None;None;
coalib\bearlib\languages\definitions\Scala.py;None;None;None;None;
coalib\bearlib\languages\definitions\SCSS.py;None;None;None;None;
coalib\bearlib\languages\definitions\Shell.py;None;None;None;None;
coalib\bearlib\languages\definitions\Swift.py;None;None;None;None;
coalib\bearlib\languages\definitions\Tcl.py;None;None;None;None;
coalib\bearlib\languages\definitions\Text.py;None;None;None;None;
coalib\bearlib\languages\definitions\TinyBasic.py;None;None;None;None;
coalib\bearlib\languages\definitions\TypeScript.py;None;None;None;None;
coalib\bearlib\languages\definitions\Unknown.py;None;None;None;None;
coalib\bearlib\languages\definitions\Vala.py;None;None;None;None;
coalib\bearlib\languages\definitions\Verilog.py;None;None;None;None;
coalib\bearlib\languages\definitions\VisualBasic.py;None;None;None;None;
coalib\bearlib\languages\definitions\XML.py;None;None;None;None;
coalib\bearlib\languages\definitions\ZShell.py;None;None;None;None;
coalib\bearlib\languages\documentation\__init__.py;None;None;None;None;
coalib\bearlib\languages\documentation\DocBaseClass.py;None;None;None;None;
coalib\bearlib\languages\documentation\DocstyleDefinition.py;get_available_definitions;304;319;319;
coalib\bearlib\languages\documentation\DocumentationComment.py;None;None;None;None;
coalib\bearlib\languages\documentation\DocumentationExtraction.py;extract_documentation_with_markers;225;341;270, 342;
coalib\bearlib\languages\__init__.py;None;None;None;None;
coalib\bearlib\languages\Language.py;None;None;None;None;
coalib\bearlib\languages\LanguageDefinition.py;None;None;None;None;
coalib\bearlib\naming_conventions\__init__.py;None;None;None;None;
coalib\bearlib\spacing\__init__.py;None;None;None;None;
coalib\bearlib\spacing\SpacingHelper.py;yield_tab_lengths;60;75;71;
coalib\bearlib\__init__.py;None;None;None;None;
coalib\bears\__init__.py;None;None;None;None;
coalib\bears\BEAR_KIND.py;None;None;None;None;
coalib\bears\Bear.py;None;None;None;None;
coalib\bears\GlobalBear.py;None;None;None;None;
coalib\bears\LocalBear.py;None;None;None;None;
coalib\bears\meta.py;None;None;None;None;
coalib\collecting\__init__.py;None;None;None;None;
coalib\collecting\Collectors.py;_import_bears;27;40;34, 40;
coalib\collecting\Collectors.py;icollect;58;89;89;
coalib\collecting\Collectors.py;icollect_bears;182;225;206;
coalib\collecting\Dependencies.py;None;None;None;None;
coalib\collecting\Importers.py;_iimport_objects;100;126;126;
coalib\collecting\Importers.py;iimport_objects;129;160;159;
coalib\core\__init__.py;None;None;None;None;
coalib\core\Bear.py;None;None;None;None;
coalib\core\CircularDependencyError.py;None;None;None;None;
coalib\core\Core.py;None;None;None;None;
coalib\core\DependencyBear.py;None;None;None;None;
coalib\core\DependencyTracker.py;None;None;None;None;
coalib\core\FileBear.py;None;None;None;None;
coalib\core\Graphs.py;None;None;None;None;
coalib\core\PersistentHash.py;None;None;None;None;
coalib\core\ProjectBear.py;None;None;None;None;
coalib\io\__init__.py;None;None;None;None;
coalib\io\Directory.py;None;None;None;None;
coalib\io\File.py;None;None;None;None;
coalib\io\FileProxy.py;None;None;None;None;
coalib\misc\__init__.py;None;None;None;None;
coalib\misc\Asyncio.py;None;None;None;None;
coalib\misc\BuildManPage.py;None;None;None;None;
coalib\misc\Caching.py;None;None;None;None;
coalib\misc\CachingUtilities.py;None;None;None;None;
coalib\misc\Compatibility.py;None;None;None;None;
coalib\misc\Constants.py;None;None;None;None;
coalib\misc\DeprecationUtilities.py;None;None;None;None;
coalib\misc\DictUtilities.py;None;None;None;None;
coalib\misc\Enum.py;None;None;None;None;
coalib\misc\Exceptions.py;None;None;None;None;
coalib\misc\IterUtilities.py;None;None;None;None;
coalib\misc\Shell.py;run_interactive_shell_command;51;124;115;
coalib\output\printers\__init__.py;None;None;None;None;
coalib\output\printers\ListLogPrinter.py;None;None;None;None;
coalib\output\printers\LOG_LEVEL.py;None;None;None;None;
coalib\output\printers\LogPrinter.py;None;None;None;None;
coalib\output\__init__.py;None;None;None;None;
coalib\output\ConfWriter.py;None;None;None;None;
coalib\output\ConsoleInteraction.py;None;None;None;None;
coalib\output\Interactions.py;None;None;None;None;
coalib\output\JSONEncoder.py;None;None;None;None;
coalib\output\Logging.py;None;None;None;None;
coalib\parsing\filters\__init__.py;None;None;None;None;
coalib\parsing\filters\CanDetectFilter.py;None;None;None;None;
coalib\parsing\filters\CanFixFilter.py;None;None;None;None;
coalib\parsing\filters\decorators.py;None;None;None;None;
coalib\parsing\filters\LanguageFilter.py;None;None;None;None;
coalib\parsing\filters\SectionTagsFilter.py;None;None;None;None;
coalib\parsing\__init__.py;None;None;None;None;
coalib\parsing\CliParsing.py;None;None;None;None;
coalib\parsing\ConfParser.py;None;None;None;None;
coalib\parsing\DefaultArgParser.py;None;None;None;None;
coalib\parsing\FilterHelper.py;None;None;None;None;
coalib\parsing\Globbing.py;_iter_choices;110;125;124;
coalib\parsing\Globbing.py;_iter_alternatives;129;151;141, 151;
coalib\parsing\Globbing.py;_absolute_flat_glob;240;256;251,255;
coalib\parsing\Globbing.py;_iter_relative_dirs;259;277;274,277;
coalib\parsing\Globbing.py;relative_recursive_glob;319;333;331,333;
coalib\parsing\Globbing.py;_iglob;350;378;354,366,378;
coalib\parsing\Globbing.py;iglob;382;399;396,399;
coalib\parsing\InvalidFilterException.py;None;None;None;None;
coalib\parsing\LineParser.py;None;None;None;None;
coalib\processes\communication\__init__.py;None;None;None;None;
coalib\processes\communication\LogMessage.py;None;None;None;None;
coalib\processes\__init__.py;None;None;None;None;
coalib\processes\BearRunning.py;None;None;None;None;
coalib\processes\CONTROL_ELEMENT.py;None;None;None;None;
coalib\processes\DebugProcessing.py;None;None;None;None;
coalib\processes\LogPrinterThread.py;None;None;None;None;
coalib\processes\Processing.py;yield_ignore_ranges;487;540;515,527,535;
coalib\results\result_actions\__init__.py;None;None;None;None;
coalib\results\result_actions\ApplyPatchAction.py;None;None;None;None;
coalib\results\result_actions\DoNothingAction.py;None;None;None;None;
coalib\results\result_actions\GeneratePatchesAction.py;None;None;None;None;
coalib\results\result_actions\IgnoreResultAction.py;None;None;None;None;
coalib\results\result_actions\OpenEditorAction.py;None;None;None;None;
coalib\results\result_actions\PrintAspectAction.py;None;None;None;None;
coalib\results\result_actions\PrintDebugMessageAction.py;None;None;None;None;
coalib\results\result_actions\PrintMoreInfoAction.py;None;None;None;None;
coalib\results\result_actions\ResultAction.py;None;None;None;None;
coalib\results\result_actions\ShowAppliedPatchesAction.py;None;None;None;None;
coalib\results\result_actions\ShowPatchAction.py;None;None;None;None;
coalib\results\__init__.py;None;None;None;None;
coalib\results\AbsolutePosition.py;None;None;None;None;
coalib\results\Diff.py;split_diff;305;359;349,359;
coalib\results\HiddenResult.py;None;None;None;None;
coalib\results\LineDiff.py;None;None;None;None;
coalib\results\RESULT_SEVERITY.py;None;None;None;None;
coalib\results\Result.py;None;None;None;None;
coalib\results\ResultFilter.py;None;None;None;None;
coalib\results\SourcePosition.py;None;None;None;None;
coalib\results\SourceRange.py;None;None;None;None;
coalib\results\TextPosition.py;None;None;None;None;
coalib\results\TextRange.py;None;None;None;None;
coalib\settings\__init__.py;None;None;None;None;
coalib\settings\Annotations.py;None;None;None;None;
coalib\settings\ConfigurationGathering.py;None;None;None;None;
coalib\settings\DocstringMetadata.py;None;None;None;None;
coalib\settings\FunctionMetadata.py;None;None;None;None;
coalib\settings\Section.py;None;None;None;None;
coalib\settings\SectionFilling.py;None;None;None;None;
coalib\settings\Setting.py;None;None;None;None;
coalib\testing\__init__.py;None;None;None;None;
coalib\testing\BaseTestHelper.py;None;None;None;None;
coalib\testing\BearTestHelper.py;None;None;None;None;
coalib\testing\LocalBearTestHelper.py;execute_bear;17;68;62;
coalib\__init__.py;None;None;None;None;
coalib\coala_ci.py;None;None;None;None;
coalib\coala_delete_orig.py;None;None;None;None;
coalib\coala_format.py;None;None;None;None;
coalib\coala_json.py;None;None;None;None;
coalib\coala_main.py;None;None;None;None;
coalib\coala_modes.py;None;None;None;None;
coalib\coala.py;None;None;None;None;
docs\conf.py;None;None;None;None;
tests\bearlib\abstractions\external_bear_wrap_testfiles\ExternalBearWrapTest.py;None;None;None;None;
tests\bearlib\abstractions\external_bear_wrap_testfiles\test_external_bear.py;None;None;None;None;
tests\bearlib\abstractions\linter_test_files\test_linter.py;None;None;None;None;
tests\bearlib\abstractions\__init__.py;None;None;None;None;
tests\bearlib\abstractions\LinterTest.py;None;None;None;None;
tests\bearlib\abstractions\SectionCreatableTest.py;None;None;None;None;
tests\bearlib\aspects\__init__.py;None;None;None;None;
tests\bearlib\aspects\aspectsDocsTest.py;None;None;None;None;
tests\bearlib\aspects\BaseTest.py;None;None;None;None;
tests\bearlib\aspects\ClassTest.py;None;None;None;None;
tests\bearlib\aspects\CollectionsTest.py;None;None;None;None;
tests\bearlib\aspects\conftest.py;None;None;None;None;
tests\bearlib\aspects\DecoratorsTest.py;None;None;None;None;
tests\bearlib\aspects\ExceptionsTest.py;None;None;None;None;
tests\bearlib\aspects\InstanceTest.py;None;None;None;None;
tests\bearlib\aspects\ModuleTest.py;None;None;None;None;
tests\bearlib\aspects\RootTest.py;None;None;None;None;
tests\bearlib\aspects\SubTest.py;None;None;None;None;
tests\bearlib\aspects\TasteTest.py;None;None;None;None;
tests\bearlib\languages\documentation\documentation_extraction_testdata\data.py;None;None;None;None;
tests\bearlib\languages\documentation\documentation_extraction_testdata\default.py;None;None;None;None;
tests\bearlib\languages\documentation\documentation_extraction_testdata\doxygen.py;None;None;None;None;
tests\bearlib\languages\documentation\DocBaseClassTest.py;None;None;None;None;
tests\bearlib\languages\documentation\DocstyleDefinitionTest.py;None;None;None;None;
tests\bearlib\languages\documentation\DocumentationCommentTest.py;None;None;None;None;
tests\bearlib\languages\documentation\TestUtils.py;None;None;None;None;
tests\bearlib\languages\__init__.py;None;None;None;None;
tests\bearlib\languages\LanguageDefinitionTest.py;None;None;None;None;
tests\bearlib\languages\LanguageTest.py;None;None;None;None;
tests\bearlib\parsing\__init__.py;None;None;None;None;
tests\bearlib\spacing\__init__.py;None;None;None;None;
tests\bearlib\spacing\SpacingHelperTest.py;None;None;None;None;
tests\bearlib\__init__.py;None;None;None;None;
tests\bearlib\DeprecateSettingsTest.py;None;None;None;None;
tests\bearlib\__init__.py;None;None;None;None;
tests\bearlib\DeprecateSettingsTest.py;None;None;None;None;
tests\bears\__init__.py;None;None;None;None;
tests\bears\BearTest.py;run;74;76;76,76;
tests\bears\BearTest.py;run;81;84;82,83,84;
tests\bears\BearTest.py;run;147;156;154,155,156;
tests\bears\BearTest.py;run;163;170;169, 170;
tests\bears\BearTest.py;run;201;202;202;
tests\bears\DebugBearsTest.py;func1;13;16;14,15,16;
tests\core\BearTest.py;analyze;35;45;43,44,45;
tests\core\BearTest.py;analyze;51;59;58,59;
tests\core\CoreTest.py;analyze;120;122;121,122;
tests\core\DependencyBearTest.py;analyze;14;16;15;
tests\core\DependencyBearTest.py;analyze;21;22;22;
tests\core\DependencyBearTest.py;analyze;28;29;29;
tests\core\DependencyBearTest.py;analyze;35;36;36;
tests\core\DependencyBearTest.py;analyze;42;44;43;
tests\core\FileBearTest.py;analyze;12;13;13;
tests\core\FileBearTest.py;analyze;18;20;20;
tests\core\ProjectBearTest.py;analyze;12;14;13;
tests\core\ProjectBearTest.py;analyze;19;21;20;
tests\test_bears\internal_folder\SpaceConsistencyTestBear.py;run;9;73;66;
tests\test_bears\AspectsGeneralTestBear.py;run;30;43;38;
tests\test_bears\AspectTestBear.py;run;19;31;25;
tests\test_bears\LineCountTestBear.py;run;10;18;14;
tests\test_bears\TestBear.py;run;6;17;10,11,14;
tests\test_bears\TestBearDep.py;run;6;7;7;
tests\test_bears\TestBearDep.py;run;12;13;13;
tests\test_bears\TestBearDep.py;run;20;23;23;
tests\test_bears\TestBearDep.py;run;30;33;33;
tests\test_bears\TestBearDep.py;run;40;43;43;
tests\TestUtilities.py;EntryPoint;136;146;146;
