Nombre_archivo;Namespace;begin_line;end_line;yield_line;
plugins\convert\color\__init__.py;None;None;None;None;
plugins\convert\color\_base.py;None;None;None;None;
plugins\convert\color\avg_color.py;None;None;None;None;
plugins\convert\color\color_transfer_defaults.py;None;None;None;None;
plugins\convert\color\color_transfer.py;None;None;None;None;
plugins\convert\color\manual_balance_defaults.py;None;None;None;None;
plugins\convert\color\manual_balance.py;None;None;None;None;
plugins\convert\color\match_hist_defaults.py;None;None;None;None;
plugins\convert\color\match_hist.py;None;None;None;None;
plugins\convert\color\seamless_clone.py;None;None;None;None;
plugins\convert\mask\__init__.py;None;None;None;None;
plugins\convert\mask\_base.py;None;None;None;None;
plugins\convert\mask\box_blend_defaults.py;None;None;None;None;
plugins\convert\mask\box_blend.py;None;None;None;None;
plugins\convert\mask\mask_blend_defaults.py;None;None;None;None;
plugins\convert\mask\mask_blend.py;None;None;None;None;
plugins\convert\scaling\__init__.py;None;None;None;None;
plugins\convert\scaling\_base.py;None;None;None;None;
plugins\convert\scaling\sharpen_defaults.py;None;None;None;None;
plugins\convert\scaling\sharpen.py;None;None;None;None;
plugins\convert\writer\__init__.py;None;None;None;None;
plugins\convert\writer\_base.py;None;None;None;None;
plugins\convert\writer\ffmpeg_defaults.py;None;None;None;None;
plugins\convert\writer\ffmpeg.py;None;None;None;None;
plugins\convert\writer\gif_defaults.py;None;None;None;None;
plugins\convert\writer\gif.py;None;None;None;None;
plugins\convert\writer\opencv_defaults.py;None;None;None;None;
plugins\convert\writer\opencv.py;None;None;None;None;
plugins\convert\writer\pillow_defaults.py;None;None;None;None;
plugins\convert\writer\pillow.py;None;None;None;None;
plugins\convert\__init__.py;None;None;None;None;
plugins\convert\_config.py;None;None;None;None;
scripts\__init__.py;None;None;None;None;
scripts\convert.py;None;None;None;None;
scripts\extract.py;None;None;None;None;
scripts\fsmedia.py;Images', 'load';237;249;249;
scripts\fsmedia.py;Images', '_load_disk_frames';251;266;266;
scripts\fsmedia.py;Images', '_load_video_frames';268;287;286;
scripts\gui.py;None;None;None;None;
scripts\train.py;None;None;None;None;
tests\lib\model\__init__.py;None;None;None;None;
tests\lib\model\initializers_test.py;None;None;None;None;
tests\lib\model\layers_test.py;None;None;None;None;
tests\lib\model\losses_test.py;None;None;None;None;
tests\lib\model\nn_blocks_test.py;None;None;None;None;
tests\lib\model\normalization_test.py;None;None;None;None;
tests\lib\model\optimizers_test.py;None;None;None;None;
tests\lib\__init__.py;None;None;None;None;
tests\__init__.py;None;None;None;None;
tests\startup_test.py;None;None;None;None;
tests\utils.py;None;None;None;None;
tools\alignments\__init__.py;None;None;None;None;
tools\alignments\alignments.py;None;None;None;None;
tools\alignments\cli.py;None;None;None;None;
tools\alignments\jobs.py;Check', 'get_no_faces';94;102;102;
tools\alignments\jobs.py;Check', 'get_multi_faces';104;109;109;
tools\alignments\jobs.py;Check', 'get_multi_faces_frames';111;119;119;
tools\alignments\jobs.py;Check', 'get_multi_faces_faces';121;143;143;
tools\alignments\jobs.py;Check', 'get_missing_alignments';145;154;154;
tools\alignments\jobs.py;Check', 'get_missing_frames';156;164;164;
tools\alignments\jobs.py;Check', 'get_leftover_faces';166;173;173;
tools\alignments\media.py;AlignmentData', 'stream';181;202;202;
tools\alignments\media.py;Faces', 'process_folder';216;233;233;
tools\alignments\media.py;Frames', 'process_folder';254;258;258;
tools\alignments\media.py;Frames', 'process_frames';260;273;273;
tools\alignments\media.py;Frames', 'process_video';275;287;287;
tools\effmpeg\__init__.py;None;None;None;None;
tools\effmpeg\cli.py;None;None;None;None;
tools\effmpeg\effmpeg.py;None;None;None;None;
tools\manual\faceviewer\__init__.py;None;None;None;None;
tools\manual\faceviewer\frame.py;None;None;None;None;
tools\manual\faceviewer\viewport.py;None;None;None;None;
tools\manual\frameviewer\editor\__init__.py;None;None;None;None;
tools\manual\frameviewer\editor\_base.py;None;None;None;None;
tools\manual\frameviewer\editor\bounding_box.py;None;None;None;None;
tools\manual\frameviewer\editor\extract_box.py;None;None;None;None;
tools\manual\frameviewer\editor\landmarks.py;None;None;None;None;
tools\manual\frameviewer\editor\mask.py;None;None;None;None;
tools\manual\frameviewer\__init__.py;None;None;None;None;
tools\manual\frameviewer\control.py;None;None;None;None;
tools\manual\frameviewer\frame.py;None;None;None;None;
tools\manual\__init__.py;None;None;None;None;
tools\manual\cli.py;None;None;None;None;
tools\manual\detected_faces.py;None;None;None;None;
tools\manual\manual.py;None;None;None;None;
tools\mask\__init__.py;None;None;None;None;
tools\mask\cli.py;None;None;None;None;
tools\mask\mask.py;None;None;None;None;
tools\preview\__init__.py;None;None;None;None;
tools\preview\cli.py;None;None;None;None;
tools\preview\preview.py;None;None;None;None;
tools\restore\__init__.py;None;None;None;None;
tools\restore\cli.py;None;None;None;None;
tools\restore\restore.py;None;None;None;None;
tools\sort\__init__.py;None;None;None;None;
tools\sort\cli.py;None;None;None;None;
tools\sort\sort.py;None;None;None;None;
tools\__init__.py;None;None;None;None;
faceswap.py;None;None;None;None;
setup.py;None;None;None;None;
tools.py;_get_cli_opts';24;35;35;
update_deps.py;None;None;None;None;
