Nombre_archivo;Namespace;begin_line;end_line;yield_line;
tensorflow\python\framework\test_util.py;cached_session;2320;2369;2363,2369;
tensorflow\python\framework\test_util.py;test_session;2374;2397;2387,2394,2397;
tensorflow\python\framework\test_util.py;assertRaisesWithPredicateMatch;3057;3094;3090;
tensorflow\python\framework\test_util.py;_constrain_devices_and_set_default;3193;3211;3196,3206,3208,3211;
tensorflow\python\framework\test_util.py;_fake_gradient_tape_context_manager;3406;3433;3431;
tensorflow\python\framework\test_util.py;run_functions_eagerly;3459;3493;3491;
tensorflow\python\util\tf_contextlib_test.py;test_yield_append_before_and_after_yield;29;32;31;
tensorflow\python\util\tf_contextlib_test.py;test_yield_return_x_plus_1;36;37;37;
tensorflow\python\data\util\nest.py;_yield_value;81;94;89,91,94;
tensorflow\python\data\util\nest.py;_yield_flat_up_to;248;256;254,256;
tensorflow\python\keras\engine\training_generator_test.py;custom_generator;44;64;60,62,64;
tensorflow\python\keras\engine\training_generator_test.py;custom_generator_changing_batch_size;67;90;86,88, 90;
tensorflow\python\keras\engine\training_generator_test.py;invalid_generator;236;238;238;
tensorflow\python\keras\engine\training_generator_test.py;ones_generator;279;281;281;
tensorflow\python\keras\engine\training_generator_test.py;data_gen;349;370;366, 370;
tensorflow\python\keras\engine\training_generator_test.py;_gen;503;505;505;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;47;49;49;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;70;72;72;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;88;90;90;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;103;105;105;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;126;128;128;
tensorflow\lite\python\optimize\calibrator_test.py;empty_input_gen;149;151;151;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;164;166;166;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;180;182;182;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;195;197;197;
tensorflow\python\training\saving\saveable_object_util.py;saveable_objects_for_op;139;223;159,168,182,185,199,208,221,223;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_interleave;170;190;184;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record;198;201;201;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record_interleaved;203;247;232,244;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_interleave;314;334;328;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record;339;342;342;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_expected_batch;336;366;362,366;
tensorflow\python\keras\utils\data_utils.py;chunk_read;83;97;95;
tensorflow\python\keras\utils\data_utils.py;__iter__;480;483;483;
tensorflow\python\keras\utils\data_utils.py;iter_sequence_infinite;486;497;497;
tensorflow\python\keras\utils\data_utils.py;get;762;783;778;
tensorflow\python\keras\utils\data_utils.py;get;880;916;895,908;
tensorflow\python\eager\context.py;_mode;808;823;819;
tensorflow\python\eager\context.py;device_policy;2131;2139;2137;
tensorflow\python\eager\context.py;execution_mode;2149;2163;2152,216;
tensorflow\python\eager\context.py;executor_scope;2167;2183;2181;
tensorflow\python\eager\context.py;function_executor_type;2188;2206;2204;
tensorflow\python\eager\context.py;collect_graphs;2264;2301;2293;
tensorflow\python\eager\context.py;async_scope;2322;2365;2356;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;_generator;116;127;127;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;_generator;214;224;224;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;element_gen;273;284;281,284;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;element_gen;321;323;323;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;_generator;357;361;361;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;generator_fn;410;412;412;
tensorflow\python\data\experimental\kernel_tests\bucket_by_sequence_length_test.py;element_gen;474;476;476;
tensorflow\python\ops\variable_scope.py;with_variable_store;1470;1477;1475;
tensorflow\python\ops\variable_scope.py;variable_op_scope;2488;2516;2516;
tensorflow\python\ops\variable_scope.py;_iter_slices;2572;2581;2580;
tensorflow\python\ops\variable_scope.py;variable_creator_scope_v1;2691;2761;2761;
tensorflow\python\ops\variable_scope.py;variable_creator_scope;2767;2831;2831;
tensorflow\python\lib\io\file_io.py;walk_v2;726;780;772,777,780;
tensorflow\python\keras\engine\data_adapter.py;wrapped_generator;806;808;808;
tensorflow\python\keras\engine\data_adapter.py;generator_fn;925;933;933;
tensorflow\python\keras\engine\data_adapter.py;enumerate_epochs;1155;1165;1164;
tensorflow\python\keras\engine\data_adapter.py;_truncate_execution_to_epoch;1168;1182;1178;
tensorflow\python\keras\engine\data_adapter.py;catch_stop_iteration;1185;1202;1188;
tensorflow\python\keras\engine\data_adapter.py;steps;1204;1230;1221,1228;
tensorflow\python\framework\c_api_util.py;tf_buffer;172;201;199;
tensorflow\python\framework\c_api_util.py;tf_operations;220;235;233;
tensorflow\python\framework\c_api_util.py;new_tf_operations;238;255;255;
tensorflow\python\keras\testing_utils.py;model_type_scope;321;338;335;
tensorflow\python\keras\testing_utils.py;run_eagerly_scope;342;360;357;
tensorflow\python\keras\testing_utils.py;use_keras_tensors_scope;364;383;380;
tensorflow\python\keras\testing_utils.py;saved_model_format_scope;397;419;415;
tensorflow\python\keras\testing_utils.py;device;952;959;959;
tensorflow\python\keras\testing_utils.py;use_gpu;963;966;966;
tensorflow\python\module\module.py;_flatten_module;347;411;389,391,411;
tensorflow\lite\ios\extract_object_files.py;_generated_modified_filenames;93;109;105,109;
tensorflow\lite\ios\extract_object_files.py;_extract_next_file;129;178;178;
tensorflow\python\compiler\tensorrt\trt_convert_test.py;_InputFn;448;449;449;
tensorflow\python\compiler\tensorrt\trt_convert_test.py;_CalibrationInputFn;511;512;512;
tensorflow\python\compiler\tensorrt\trt_convert_test.py;_InputFn;526;527;527;
tensorflow\python\compiler\tensorrt\trt_convert_test.py;_InputFn;592;593;593;
tensorflow\python\compiler\tensorrt\trt_convert_test.py;_InputFn;860;861;861;
tensorflow\python\ops\ragged\ragged_getitem.py;_tensor_in_key_list;392;406;395,399,402,404,406;
tensorflow\python\distribute\multi_worker_test_base.py;skip_if_grpc_server_cant_be_started;438;447;440;
tensorflow\python\distribute\multi_worker_test_base.py;session;468;488;488;
tensorflow\python\distribute\multi_worker_test_base.py;cached_session;492;518;518;
tensorflow\python\distribute\multi_worker_test_base.py;__iter__;633;639;637,639;
tensorflow\python\distribute\multi_worker_test_base.py;generator;241;245;242,243,244,245;
tensorflow\python\distribute\multi_worker_test_base.py;gen;317;318;318;
tensorflow\python\training\checkpoint_utils.py;checkpoints_iterator;153;215;212;
tensorflow\python\keras\callbacks_v1_test.py;data_generator;67;81;75,78;
tensorflow\python\keras\callbacks_v1_test.py;data_generator;175;190;184,187;
tensorflow\python\keras\callbacks_v1_test.py;generator;316;320;320;
tensorflow\python\keras\backend.py;learning_phase_scope;483;506;504;
tensorflow\python\keras\backend.py;deprecated_internal_learning_phase_scope;510;560;544;
tensorflow\python\keras\backend.py;eager_learning_phase_scope;564;591;585;
tensorflow\python\keras\backend.py;_scracht_graph773;;805;797,803;
tensorflow\python\keras\engine\training_test.py;xy_generator;578;584;582,584;
tensorflow\python\keras\engine\training_test.py;x_generator;586;592;590,592;
tensorflow\python\distribute\tpu_values.py;_maybe_enter_graph;40;48;45,48;
tensorflow\python\distribute\tpu_values.py;_maybe_on_device;52,58;58;56,58;
tensorflow\python\distribute\tpu_strategy.py;maybe_init_scope;73;78;75,78;
tensorflow\python\distribute\tpu_strategy.py;experimental_logical_device;1090;1107;1102,1105;
tensorflow\python\keras\utils\tf_utils.py;maybe_init_scope;423;438;436,438;
tensorflow\python\keras\utils\tf_utils.py;graph_context_for_symbolic_tensors;442;448;446,448;
tensorflow\python\training\supervisor.py;managed_session;936;1025;1004;
tensorflow\python\ops\summary_ops_v2.py;record_if;124;149;147;
tensorflow\python\ops\summary_ops_v2.py;as_default;324;369;362;
tensorflow\python\ops\summary_ops_v2.py;as_default;406;407;407;
tensorflow\python\ops\summary_ops_v2.py;summary_scope;627;663;663;
tensorflow\python\saved_model\save.py;list_dependencies;115;142;136,138,142;
tensorflow\python\ops\resource_variable_ops.py;_handle_graph;242;250;247, 250;
tensorflow\python\ops\resource_variable_ops.py;_assign_dependencies;455;467;465,467;
tensorflow\python\framework\op_def_library.py;_MaybeColocateWith;257;272;267,272;
tensorflow\python\keras\utils\object_identity.py;__iter__;149;151;151;
tensorflow\python\keras\utils\object_identity.py;__iter__;169;176;176;
tensorflow\python\keras\utils\object_identity.py;__iter__;221;224;224;
tensorflow\python\keras\utils\object_identity.py;__iter__;239;246;246;
tensorflow\python\util\object_identity.py;__iter__;150;152;152;
tensorflow\python\util\object_identity.py;__iter__;170;177;177;
tensorflow\python\util\object_identity.py;__iter__;222;225;225;
tensorflow\python\util\object_identity.py;__iter__;240;247;247;
tensorflow\lite\python\lite_v2_test.py;calibration_gen;158;160;160;
tensorflow\lite\python\lite_v2_test.py;calibration_gen;508;512;510;
tensorflow\lite\python\lite_v2_test.py;calibration_gen;595;600;597;
tensorflow\lite\python\lite_v2_test.py;calibration_gen;1609;1612;1612;
tensorflow\python\framework\function.py;container;731;759;754;
tensorflow\python\debug\lib\debug_events_reader.py;_generic_iterator;182;220;209;
tensorflow\python\keras\engine\data_adapter_test.py;generator;85;87;87;
tensorflow\python\keras\engine\data_adapter_test.py;generator;725;727;727;
tensorflow\python\keras\engine\data_adapter_test.py;generator;924;927;927;
tensorflow\python\keras\engine\data_adapter_test.py;generator;957;960;960;
tensorflow\python\keras\callbacks_test.py;generator;388;390;390;
tensorflow\python\keras\callbacks_test.py;generator;419;422;422;
tensorflow\python\keras\callbacks_test.py;data_generator;1429;1442;1435,1438;
tensorflow\python\data\kernel_tests\window_test.py;generator;205;208;206,207,208;
tensorflow\python\ops\tensor_array_ops.py;_maybe_colocate_with;203;221;216,221;
tensorflow\python\distribute\cluster_resolver\slurm_cluster_resolver.py;split_hotlist;39;57;52,57;
tensorflow\python\distribute\cluster_resolver\slurm_cluster_resolver.py;expand_range_expression;59;68;68;
tensorflow\python\kernel_tests\linalg\linear_operator_circulant_test.py;_constrain_devices_and_set_default;58;62;62;
tensorflow\python\kernel_tests\linalg\linear_operator_circulant_test.py;_constrain_devices_and_set_default;410;414;414;
tensorflow\python\kernel_tests\linalg\linear_operator_circulant_test.py;_constrain_devices_and_set_default;703;707;707;
tensorflow\python\debug\lib\grpc_debug_server.py;SendEvents;127;182;163,174,182;
tensorflow\python\autograph\operators\control_flow_test.py;new_generator;249;251;251;
tensorflow\python\autograph\operators\control_flow_test.py;new_generator;282;284;284;
tensorflow\python\autograph\operators\control_flow_test.py;custom_iterator;806;809;809;
tensorflow\python\data\kernel_tests\batch_test.py;generator;175;178;176,177,178;
tensorflow\python\keras\engine\base_layer.py;_flatten_layers;2912;2916;2916;
tensorflow\python\keras\engine\base_layer.py;_flatten_modules;2918;2957;2929,2946;
tensorflow\python\autograph\pyct\common_transformers\anf_test.py;test_function;331;333;332;
tensorflow\python\autograph\pyct\common_transformers\anf_test.py;expected_result;335;340;337;
tensorflow\python\ops\losses\util.py;check_per_example_loss_rank;148;174;164,174;
tensorflow\python\training\tracking\util.py;globally_named_object_attributes;329;367;367;
tensorflow\python\training\tracking\util.py;capture_dependencies;545;632;632;
tensorflow\python\keras\engine\training_eager_test.py;numpy_iterator;214;216;216;
tensorflow\python\keras\engine\training_eager_test.py;inference_numpy_iterator;221;223;223;
tensorflow\python\framework\tensor_util.py;_FlattenToStrings;230;236;234,236;
tensorflow\python\ops\summary_op_util.py;summary_scope;72;108;108;
tensorflow\python\data\experimental\ops\readers.py;_next_csv_row;11;128;128;
tensorflow\python\distribute\parameter_server_strategy_v2_test.py;_assertRaisesUsageError;78;83;83;
tensorflow\python\distribute\parameter_server_strategy_v2_test.py;_assertRaisesUsageErrorWithSchedule;86;92;92;
tensorflow\python\framework\ops_test.py;generator;2158;2160;2159, 2160;
tensorflow\python\kernel_tests\neon_depthwise_conv_op_test.py;ConfigsToTest;32;53;53;
tensorflow\python\kernel_tests\neon_depthwise_conv_op_test.py;CheckGradConfigsToTest;56;80;80;
tensorflow\python\distribute\multi_process_runner.py;_runtime_mode;745;751;748,751;
tensorflow\python\distribute\mirrored_run.py;_enter_graph;101;112;107,112;
tensorflow\python\keras\metrics_correctness_test.py;custom_generator_multi_io;48;66;66;
tensorflow\python\keras\metrics_correctness_test.py;_custom_generator;365;378;378;
tensorflow\python\distribute\coordinator\metric_utils.py;monitored_timer;61;76;64, 70;
tensorflow\python\ops\math_ops_test.py;fn;439;441;440,441;
tensorflow\python\data\experimental\kernel_tests\make_csv_dataset_test.py;_next_expected_batch;64;75;72,75;
tensorflow\lite\python\lite_test.py;calibration_gen;334;339;336;
tensorflow\lite\python\lite_test.py;calibration_gen;871;873;873;
tensorflow\python\compiler\xla\jit.py;experimental_jit_scope;42;160;157;
tensorflow\python\framework\importer.py;_MaybeDevice;77;83;81,83;
tensorflow\python\ops\gradients_util.py;_maybe_colocate_with;294;300;298, 300;
tensorflow\python\distribute\distribution_strategy_context.py;enter_or_assert_strategy;275;281;278,281;
tensorflow\python\ops\distributions\distribution.py;_name_scope;1232;1237;1237;
tensorflow\python\distribute\distribute_lib.py;_scale_loss_for_estimator_enabled;807;818;816;
tensorflow\python\keras\utils\data_utils_test.py;create_generator_from_sequence_threads;117;119;119;
tensorflow\python\keras\utils\data_utils_test.py;create_generator_from_sequence_pcs;122;124;124;
tensorflow\python\ops\critical_section_ops.py;_push_critical_section_stack;89;122;116;
tensorflow\python\distribute\coordinator\cluster_coordinator.py;wait_on_failure;644;684;661;
tensorflow\python\distribute\coordinator\cluster_coordinator.py;handle_parameter_server_failure;1296;1305;1298;
tensorflow\python\training\checkpoint_management_test.py;tempWorkingDir;48;54;52;
tensorflow\python\training\checkpoint_management_test.py;tempDir;58;63;61;
tensorflow\python\ops\distributions\bijector_impl.py;_name_scope;1000;1005;1005;
tensorflow\python\training\tracking\base.py;no_manual_dependency_tracking_scope;527;555;553;
tensorflow\python\training\tracking\base.py;no_automatic_dependency_tracking_scope;559;587;585;
tensorflow\python\data\experimental\kernel_tests\auto_shard_dataset_test.py;chunk;46;48;48;
tensorflow\python\data\experimental\kernel_tests\auto_shard_dataset_test.py;batch;112;115;;
tensorflow\python\framework\auto_control_deps.py;_get_resource_inputs;532;554;552,554;
tensorflow\compiler\xla\python\xla_client.py;tracebacks;692;699;697;
tensorflow\python\compiler\xla\xla.py;_disable_summary_context;544;560;558;
tensorflow\python\keras\saving\saved_model\utils.py;keras_option_scope;263;269;267;
tensorflow\lite\python\util_test.py;representative_dataset_gen;272;285;274;
tensorflow\lite\schema\upgrade_schema.py;TemporaryDirectoryResource;57;62;60;
tensorflow\python\keras\engine\training_utils_v1.py;as_dict;1784;1787;1787;
tensorflow\python\keras\engine\training_generator_v1.py;_gen;474;485;485;
tensorflow\python\keras\engine\training_dataset_test.py;gen;516;519;518;
tensorflow\python\training\tracking\tracking.py;resource_tracker_scope;159;184;182;
tensorflow\python\tpu\tpu_function.py;tpu_shard_context;47;60;58;
tensorflow\lite\testing\toco_convert.py;representative_dataset_gen;135;137;137;
tensorflow\python\compiler\tensorrt\test\tf_trt_integration_test_base.py;_BuildInFn;516;518;518;
tensorflow\python\util\tf_should_use_test.py;reroute_error;36;39;39;
tensorflow\python\framework\tensor_util_test.py;disableSetStaticShape;1197;1203;1201;
tensorflow\python\keras\tests\temporal_sample_weights_correctness_test.py;custom_generator_multi_io_temporal;107;130;130;
tensorflow\python\ops\template.py;as_default;500;536;503;
tensorflow\python\eager\tape.py;stop_recording;155;164;161;
tensorflow\python\framework\subscribe.py;_preserve_control_flow_context;261;288;285;
tensorflow\tools\pip_package\setup.py;find_files;253;257;257;
tensorflow\python\client\session.py;_generator;428;430;430;
tensorflow\python\distribute\parallel_device\saving.py;independent_buffers;125;139;139;
tensorflow\python\keras\saving\saved_model\saved_model_test.py;nullcontextmanager;725;726;726;
tensorflow\python\tools\saved_model_cli_test.py;captured_output;50;57;55;
tensorflow\python\saved_model\save_context.py;save_context;53;60;58;
tensorflow\python\compiler\tensorrt\model_tests\run_models.py;trt_converter_params_updater;150;157;155;
tensorflow\python\profiler\profile_context.py;_new_step;312;319;314;
tensorflow\python\debug\cli\profile_analyzer_cli.py;profile_data_generator;463;474;467;
tensorflow\python\profiler\pprof_profiler.py;profile_data_generator;377;384;381;
tensorflow\python\kernel_tests\pooling_ops_test.py;GetShrunkInceptionMaxPoolShapes;86;110;110;
tensorflow\python\keras\mixed_precision\policy.py;policy_scope;530;544;542;
tensorflow\python\keras\distribute\parameter_server_training_test.py;feature_and_label_gen;124;128;128;
tensorflow\python\data\experimental\kernel_tests\parallel_interleave_test.py;_interleave;86;117;113;
tensorflow\python\data\kernel_tests\padded_batch_test.py;generator;178;183;183;
tensorflow\python\ops\numpy_ops\np_arrays.py;__iter__;272;278;277;
tensorflow\python\keras\engine\node.py;iterate_inbound;133;144;144;
tensorflow\python\keras\integration_test\multi_worker_tutorial_test.py;skip_fetch_failure_exception;65;76;67;
tensorflow\lite\tools\optimize\python\modify_model_interface_lib_test.py;representative_dataset_gen;45;47;47;
tensorflow\python\compiler\tensorrt\model_tests\model_handler.py;gets_calibration_input;530;532;532;
tensorflow\lite\testing\model_coverage\model_coverage_lib.py;representative_dataset_gen;107;117;110;
tensorflow\python\profiler\internal\model_analyzer_testlib.py;ProfilerFromFile;106;111;110;
tensorflow\lite\tutorials\mnist_tflite.py;test_image_generator;35;44;42;
tensorflow\python\data\experimental\benchmarks\map_vectorization_benchmark.py;_default_dataset_factory;180;183;183;
tensorflow\python\keras\saving\saved_model\load_context.py;load_context;46;51;49;
tensorflow\python\kernel_tests\linalg\linear_operator_toeplitz_test.py;_constrain_devices_and_set_default;47;51;51;
tensorflow\python\ops\linalg\linear_operator.py;_name_scope;242;248;248;
tensorflow\python\keras\utils\layer_utils.py;filter_empty_layer_containers;478;495;489;
tensorflow\python\training\tracking\layer_utils.py;filter_empty_layer_containers;141;158;152;
tensorflow\python\data\kernel_tests\iterator_test.py;g;348;350;350;
tensorflow\python\data\kernel_tests\interleave_test.py;_interleave;38;89;85;
tensorflow\python\keras\layers\preprocessing\integer_lookup_test.py;word_gen;285;287;287;
tensorflow\python\keras\layers\preprocessing\index_lookup_test.py;word_gen;580;582;582;
tensorflow\python\keras\layers\preprocessing\benchmarks\index_lookup_adapt_benchmark.py;word_gen;42;44;44;
tensorflow\python\ops\image_ops_test.py;generator;1491;1494;1494;
tensorflow\python\ops\image_grad_test_base.py;_itGen;119;131;131;
tensorflow\python\keras\layers\preprocessing\benchmarks\hashing_benchmark.py;word_gen;42;44;44;
tensorflow\python\keras\utils\generic_utils.py;skip_failed_serialization;189;196;194;
tensorflow\lite\micro\testing\generate_test_models.py;representative_dataset_gen;58;60;60;
tensorflow\python\framework\function_test.py;_OptimizerOptions;58;87;87;
tensorflow\python\framework\func_graph.py;inner_cm;371;424;414;
tensorflow\python\eager\forwardprop_util.py;push_forwardprop_state;61;78;76;
tensorflow\python\keras\distribute\distributed_training_utils_v1.py;distributed_scope;1088;1090;1090;
tensorflow\python\distribute\distribute_coordinator_test.py;_test_session;190;194;194;
tensorflow\python\util\deprecation.py;silence;638;644;643;
tensorflow\python\grappler\datasets_test.py;generator;102;103;103;
tensorflow\python\tpu\datasets_test.py;my_generator;175;176;176;
tensorflow\python\keras\preprocessing\dataset_utils.py;iter_valid_files;133;138;138;
tensorflow\python\data\kernel_tests\dataset_test.py;gen;104;105;105;
tensorflow\python\data\experimental\kernel_tests\copy_to_device_test.py;generator;286;288;288;
tensorflow\python\training\coordinator.py;stop_on_exception;266;299;297;
tensorflow\python\autograph\core\converter_testing.py;assertPrints;110;117;114;
tensorflow\python\keras\utils\conv_utils.py;conv_kernel_idxs;293;384;384;
tensorflow\python\kernel_tests\conv_ops_test.py;GetShrunkInceptionShapes;53;148;148;
tensorflow\python\ops\control_flow_util_v2.py;clear_control_inputs;222;238;237;
tensorflow\python\framework\experimental\context_stack.py;set_default;34;40;38;
tensorflow\python\autograph\utils\context_managers.py;control_dependency_handle;38;49;44;
tensorflow\python\compat\compat.py;forward_compatibility_horizon;131;172;170;
tensorflow\python\distribute\coordinator\cluster_coordinator_test.py;_assert_raises_usage_error;700;707;707;
tensorflow\python\grappler\cluster.py;Provision;115;122;121;
tensorflow\python\tpu\client\client.py;_environment_var_to_network_endpoints;86;100;97;
tensorflow\python\keras\layers\preprocessing\benchmarks\category_crossing_benchmark.py;int_gen;40;42;42;
tensorflow\python\tpu\bfloat16.py;bfloat16_scope;75;92;92;
tensorflow\python\keras\legacy_tf_layers\base.py;keras_style_scope;49;113;111;
tensorflow\python\eager\backprop.py;stop_recording;907;936;934;
tensorflow\python\kernel_tests\atrous_convolution_test.py;_delay_checks;64;96;92;
tensorflow\python\autograph\pyct\ast_util.py;parallel_walk;283;348;317;
tensorflow\python\autograph\impl\api_test.py;assertPrints;73;81;77;
